dimensie/0/_name,dimensie/0/__text,dimensie/1/_name,dimensie/1/__text,dimensie/2/_name,dimensie/2/__text,dimensie/3/_name,dimensie/3/__text
aantal,"163456846,4",jaar,1989,netwerk,gemeentewegen,voertuigtype,vrachtwagen uit 1 stuk
aantal,1126042608,jaar,1989,netwerk,snelwegen,voertuigtype,trekker met oplegger
aantal,"447110791,5",jaar,1989,netwerk,gewestwegen,voertuigtype,trekker met oplegger
aantal,"42928578,73",jaar,1989,netwerk,gemeentewegen,voertuigtype,trekker met oplegger
aantal,"317840126,2",jaar,1989,netwerk,snelwegen,voertuigtype,vrachtwagen met aanhangwagen
aantal,"114173808,8",jaar,1989,netwerk,gewestwegen,voertuigtype,vrachtwagen met aanhangwagen
aantal,"12360558,51",jaar,1989,netwerk,gemeentewegen,voertuigtype,vrachtwagen met aanhangwagen
aantal,"41065937,23",jaar,1990,netwerk,snelwegen,voertuigtype,motor
aantal,"81830946,85",jaar,1990,netwerk,gewestwegen,voertuigtype,motor
aantal,"53823090,07",jaar,1990,netwerk,gemeentewegen,voertuigtype,motor
aantal,10773417467,jaar,1990,netwerk,snelwegen,voertuigtype,personenwagen
aantal,15544815746,jaar,1990,netwerk,gewestwegen,voertuigtype,personenwagen
aantal,8850708799,jaar,1990,netwerk,gemeentewegen,voertuigtype,personenwagen
aantal,"670109068,5",jaar,1990,netwerk,snelwegen,voertuigtype,bestelwagen
aantal,"794697455,2",jaar,1990,netwerk,gewestwegen,voertuigtype,bestelwagen
aantal,"527266937,9",jaar,1990,netwerk,gemeentewegen,voertuigtype,bestelwagen
aantal,"87435091,52",jaar,1990,netwerk,snelwegen,voertuigtype,bus
aantal,144195501,jaar,1990,netwerk,gewestwegen,voertuigtype,bus
aantal,"86415961,27",jaar,1990,netwerk,gemeentewegen,voertuigtype,bus
aantal,"1223819,321",jaar,1990,netwerk,snelwegen,voertuigtype,speciaal voertuig
aantal,"43438894,69",jaar,1990,netwerk,gewestwegen,voertuigtype,speciaal voertuig
aantal,"194161813,8",jaar,1990,netwerk,gemeentewegen,voertuigtype,speciaal voertuig
aantal,"626595492,6",jaar,1990,netwerk,snelwegen,voertuigtype,vrachtwagen uit 1 stuk
aantal,"814704580,9",jaar,1990,netwerk,gewestwegen,voertuigtype,vrachtwagen uit 1 stuk
aantal,"190174918,2",jaar,1990,netwerk,gemeentewegen,voertuigtype,vrachtwagen uit 1 stuk
aantal,1092326734,jaar,1990,netwerk,snelwegen,voertuigtype,trekker met oplegger
aantal,"481612973,5",jaar,1990,netwerk,gewestwegen,voertuigtype,trekker met oplegger
aantal,"50334556,45",jaar,1990,netwerk,gemeentewegen,voertuigtype,trekker met oplegger
aantal,"305818850,4",jaar,1990,netwerk,snelwegen,voertuigtype,vrachtwagen met aanhangwagen
aantal,"119141532,7",jaar,1990,netwerk,gewestwegen,voertuigtype,vrachtwagen met aanhangwagen
aantal,"14352824,02",jaar,1990,netwerk,gemeentewegen,voertuigtype,vrachtwagen met aanhangwagen
aantal,"50520558,05",jaar,1991,netwerk,snelwegen,voertuigtype,motor
aantal,"125320956,9",jaar,1991,netwerk,gewestwegen,voertuigtype,motor
aantal,"72514538,63",jaar,1991,netwerk,gemeentewegen,voertuigtype,motor
aantal,11113113158,jaar,1991,netwerk,snelwegen,voertuigtype,personenwagen
aantal,16135440015,jaar,1991,netwerk,gewestwegen,voertuigtype,personenwagen
aantal,9037811029,jaar,1991,netwerk,gemeentewegen,voertuigtype,personenwagen
aantal,"744050540,3",jaar,1991,netwerk,snelwegen,voertuigtype,bestelwagen
aantal,"905128823,8",jaar,1991,netwerk,gewestwegen,voertuigtype,bestelwagen
aantal,"575480769,7",jaar,1991,netwerk,gemeentewegen,voertuigtype,bestelwagen
aantal,"92724394,78",jaar,1991,netwerk,snelwegen,voertuigtype,bus
aantal,"150449106,7",jaar,1991,netwerk,gewestwegen,voertuigtype,bus
aantal,"84276964,49",jaar,1991,netwerk,gemeentewegen,voertuigtype,bus
aantal,"1014921,925",jaar,1991,netwerk,snelwegen,voertuigtype,speciaal voertuig
aantal,"44131336,65",jaar,1991,netwerk,gewestwegen,voertuigtype,speciaal voertuig
aantal,"178988997,8",jaar,1991,netwerk,gemeentewegen,voertuigtype,speciaal voertuig
